Capacite_accueil,NbChambres,frais_menage,Latitude,Longitude,Caution,Prix_Estime
2.0,1.0,0.0,44.8548728658,-0.5771858424,0.0,51.98425412006054
3.0,1.0,20.0,44.8504987553,-0.5743148071,100.0,67.9567229760396
4.0,1.0,0.0,44.8389957993,-0.5714309942,500.0,78.82509625496459
5.0,2.0,40.0,44.840824386,-0.5805296583,700.0,122.3783166649464
3.0,0.0,30.0,44.838813681,-0.5694232935,200.0,55.31084208250013
4.0,1.0,0.0,44.834291994,-0.5746126476,150.0,69.05802186558685
4.0,2.0,49.0,44.8443946232,-0.5760747815,500.0,111.41476216521914
2.0,1.0,5.0,44.8530251219,-0.5961763399,150.0,60.102921931261335
3.0,1.0,30.0,44.8219960698,-0.6004196211,350.0,77.61329797455892
3.0,1.0,10.0,44.8470677254,-0.5887667459,0.0,63.75505740664812
2.0,1.0,0.0,44.8544430233,-0.5830950861,0.0,52.777447926177956
4.0,1.0,0.0,44.8537674547,-0.5749272322,150.0,71.85012740163802
4.0,2.0,30.0,44.8345776658,-0.5683492449,200.0,94.87713617746704
4.0,1.0,0.0,44.8405609208,-0.5725542851,500.0,79.20812967043184
12.0,5.0,70.0,44.8556179798,-0.6055650335,1500.0,264.3262359953387
4.0,1.0,40.0,44.8441807347,-0.5727190833,1500.0,119.36051027405756
3.0,1.0,0.0,44.8340948683,-0.5616684573,300.0,63.13378416203341
2.0,1.0,10.0,44.8314104398,-0.5758146506,0.0,51.550708854968434
8.0,4.0,60.0,44.8374451214,-0.5724515137,1001.0,191.67449841131292
2.0,1.0,0.0,44.8508732535,-0.5974073883,0.0,54.34195487783745
10.0,5.0,0.0,44.8321936421,-0.5708298241,0.0,177.25372563646033
8.0,4.0,0.0,44.8560480643,-0.5754020311,500.0,162.59399843374013
4.0,0.0,0.0,44.830943381,-0.5750841922,150.0,52.55682672139392
4.0,1.0,0.0,44.8256995803,-0.5712087325,100.0,65.98819639100566
4.0,1.0,10.0,44.8535413543,-0.5687397055,150.0,73.99773122224178
2.0,1.0,0.0,44.8482594581,-0.5889640904,0.0,52.75337195407428
1.0,1.0,0.0,44.831939506,-0.575496959,0.0,40.381150044760034
2.0,0.0,0.0,44.8347968649,-0.5836862779,200.0,39.45987499883904
4.0,1.0,0.0,44.8405546194,-0.5721573704,95.0,68.0836704329995
2.0,1.0,0.0,44.8353952711,-0.5701841248,0.0,48.22563681138399
6.0,4.0,50.0,44.8519459847,-0.6066293949,300.0,160.18071771767245
